-----------------------------------
数据大于1M,已自动保存: /Serial_Assistant_Cfg/Auto_Save/2024-07-04_19-05-40.txt
-----------------------------------
[19:05:40.912] {A=-19.602,B=-9.60195,C=0.398049,D=10.398,E=20.398,F=30.398,G=40.398,H=50.398,I=60.398,J=70.398}
[19:05:42.300] {A=-36.4114,B=-26.4114,C=-16.4114,D=-6.41136,E=3.58864,F=13.5886,G=23.5886,H=33.5886,I=43.5886,J=53.5886}
[19:05:42.320] {A=-30.4945,B=-20.4945,C=-10.4945,D=-0.494525,E=9.50548,F=19.5055,G=29.5055,H=39.5055,I=49.5055,J=59.5055}
[19:05:42.321] {A=-24.4575,B=-14.4575,C=-4.45746,D=5.54254,E=15.5425,F=25.5425,G=35.5425,H=45.5425,I=55.5425,J=65.5425}
[19:05:42.330] {A=-18.324,B=-8.32397,C=1.67603,D=11.676,E=21.676,F=31.676,G=41.676,H=51.676,I=61.676,J=71.676}
[19:05:42.343] {A=-12.1182,B=-2.11824,C=7.88176,D=17.8818,E=27.8818,F=37.8818,G=47.8818,H=57.8818,I=67.8818,J=77.8818}
[19:05:42.344] {A=-5.86473,B=4.13527,C=14.1353,D=24.1353,E=34.1353,F=44.1353,G=54.1353,H=64.1353,I=74.1353,J=84.1353}
[19:05:42.356] {A=0.411905,B=10.4119,C=20.4119,D=30.4119,E=40.4119,F=50.4119,G=60.4119,H=70.4119,I=80.4119,J=90.4119}
[19:05:42.372] {A=6.68691,B=16.6869,C=26.6869,D=36.6869,E=46.6869,F=56.6869,G=66.6869,H=76.6869,I=86.6869,J=96.6869}
[19:05:42.386] {A=12.9356,B=22.9356,C=32.9356,D=42.9356,E=52.9356,F=62.9356,G=72.9356,H=82.9356,I=92.9356,J=102.936}
[19:05:42.386] {A=19.1332,B=29.1332,C=39.1332,D=49.1332,E=59.1332,F=69.1332,G=79.1332,H=89.1332,I=99.1332,J=109.133}
[19:05:42.394] {A=25.2554,B=35.2554,C=45.2554,D=55.2554,E=65.2554,F=75.2554,G=85.2554,H=95.2554,I=105.255,J=115.255}
[19:05:42.426] {A=31.2781,B=41.2781,C=51.2781,D=61.2781,E=71.2781,F=81.2781,G=91.2781,H=101.278,I=111.278,J=121.278}
[19:05:42.438] {A=37.1774,B=47.1774,C=57.1774,D=67.1774,E=77.1774,F=87.1774,G=97.1774,H=107.177,I=117.177,J=127.177}
[19:05:42.438] {A=42.9301,B=52.9301,C=62.9301,D=72.9301,E=82.9301,F=92.9301,G=102.93,H=112.93,I=122.93,J=132.93}
[19:05:42.439] {A=48.5136,B=58.5136,C=68.5136,D=78.5136,E=88.5136,F=98.5136,G=108.514,H=118.514,I=128.514,J=138.514}
[19:05:42.448] {A=53.9059,B=63.9059,C=73.9059,D=83.9059,E=93.9059,F=103.906,G=113.906,H=123.906,I=133.906,J=143.906}
[19:05:42.474] {A=59.0856,B=69.0856,C=79.0856,D=89.0856,E=99.0856,F=109.086,G=119.086,H=129.086,I=139.086,J=149.086}
[19:05:42.474] {A=64.0323,B=74.0323,C=84.0323,D=94.0323,E=104.032,F=114.032,G=124.032,H=134.032,I=144.032,J=154.032}
[19:05:42.475] {A=68.7266,B=78.7266,C=88.7266,D=98.7266,E=108.727,F=118.727,G=128.727,H=138.727,I=148.727,J=158.727}
[19:05:42.485] {A=73.15,B=83.15,C=93.15,D=103.15,E=113.15,F=123.15,G=133.15,H=143.15,I=153.15,J=163.15}
[19:05:42.508] {A=77.2849,B=87.2849,C=97.2849,D=107.285,E=117.285,F=127.285,G=137.285,H=147.285,I=157.285,J=167.285}
[19:05:42.508] {A=81.1152,B=91.1152,C=101.115,D=111.115,E=121.115,F=131.115,G=141.115,H=151.115,I=161.115,J=171.115}
[19:05:42.519] {A=84.6256,B=94.6256,C=104.626,D=114.626,E=124.626,F=134.626,G=144.626,H=154.626,I=164.626,J=174.626}
[19:05:42.524] {A=87.8025,B=97.8025,C=107.802,D=117.802,E=127.802,F=137.802,G=147.802,H=157.802,I=167.802,J=177.802}
[19:05:42.541] {A=90.6331,B=100.633,C=110.633,D=120.633,E=130.633,F=140.633,G=150.633,H=160.633,I=170.633,J=180.633}
[19:05:42.546] {A=93.1064,B=103.106,C=113.106,D=123.106,E=133.106,F=143.106,G=153.106,H=163.106,I=173.106,J=183.106}
[19:05:42.589] {A=95.2127,B=105.213,C=115.213,D=125.213,E=135.213,F=145.213,G=155.213,H=165.213,I=175.213,J=185.213}
